#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApMsgFwd","20","128","94478336","6557696","1798144","9104",,,"22.25",,,,,"Process","8",,,,,,"128","16388",".","0","",,,,,"9104","9104","1798144","1798144","183880","183880","1875968","1875968","7860224","7860224","96575488","96575488",,,"1798144","1798144","00:00:17.7187500","ApMsgFwd",,"True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 7:08:27 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:22.2500000","00:00:04.5312500","94478336","94478336","False",,,,"6557696","6557696",,
"ApntEx","20","134","94564352","6651904","2011136","9848","C:\Program Files\DellTPad\Apntex.exe","Alps Electric Co., Ltd.","0.03125","8, 1, 0, 34","8, 1, 0, 34","Alps Pointing-device Driver for Windows","Alps Pointing-device Driver for Windows","Process","8",,"False",,"1780","Microsoft.Win32.SafeHandles.SafeProcessHandle","134","20688",".","0","","System.Diagnostics.ProcessModule (Apntex.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9848","9848","2011136","2011136","183512","183512","3334144","3334144","7573504","7573504","97787904","97787904","True","Normal","2011136","2011136","00:00:00.0156250","ApntEx","15","True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 7:08:28 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","94564352","94564352","False",,,,"6651904","6651904",,
"Apoint","20","332","150695936","19312640","5591040","20520","C:\Program Files\DellTPad\Apoint.exe","Alps Electric Co., Ltd.","1.609375","10, 1, 101, 214","10, 1, 101, 214","Alps Pointing-device Driver","Alps Pointing-device Driver","Process","8",,"False",,"3104","Microsoft.Win32.SafeHandles.SafeProcessHandle","332","1276",".","0","","System.Diagnostics.ProcessModule (Apoint.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20520","20520","5591040","5591040","300056","300056","6393856","6393856","27656192","27656192","178311168","178311168","True","Normal","5591040","5591040","00:00:01.1562500","Apoint","15","True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 7:08:24 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.6093750","00:00:00.4531250","150695936","150695936","False",,,,"19312640","19312640",,
"AppleMobileDeviceService","0","277","134512640","3407872","5107712","19960",,,,,,,,"Process","8",,,,,,"277","4068",".","0","",,,,,"19960","19960","5107712","5107712","251072","251072","5373952","5373952","14983168","14983168","153014272","153014272",,,"5107712","5107712",,"AppleMobileDeviceService",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"134512640","134512640","False",,,,"3407872","3407872",,
"ApplicationFrameHost","20","322","2199193116672","20938752","7663616","18080","C:\Windows\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.28125","10.0.15063.0 (WinBuild.160101.0800)","10.0.15063.0","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3324","Microsoft.Win32.SafeHandles.SafeProcessHandle","322","15380",".","459438","Photos","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18080","18080","7663616","7663616","324200","324200","8658944","8658944","25133056","25133056","191295488","2199214551040","True","Normal","7663616","7663616","00:00:00.1875000","ApplicationFrameHost","15","True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 7:19:52 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2812500","00:00:00.0937500","169861120","2199193116672","False",,,,"20938752","20938752",,
"audiodg","0","219","2199145623552","19128320","11878400","14744",,,"4.671875",,,,,"Process","8",,,,,,"219","12232",".","0","",,,,,"14744","14744","11878400","11878400","195024","195024","25415680","25415680","33030144","33030144","131452928","2199154708480",,,"11878400","11878400","00:00:00.3906250","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","3/22/2018 8:52:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.6718750","00:00:04.2812500","122368000","2199145623552","False",,,,"19128320","19128320",,
"BlueJeans","20","260","175927296","13062144","22474752","42136","C:\Users\703021219\AppData\Local\Blue Jeans\App\BlueJeans.exe","Blue Jeans","0.765625","0.1.0.1","0.1.0.1","Blue Jeans Application","Blue Jeans Application","Process","8",,"False",,"3752","Microsoft.Win32.SafeHandles.SafeProcessHandle","260","3656",".","0","","System.Diagnostics.ProcessModule (BlueJeans.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","42136","42136","22474752","22474752","280968","280968","22900736","22900736","27320320","27320320","181170176","181170176","True","Normal","22474752","22474752","00:00:00.4375000","BlueJeans","15","True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 7:09:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7656250","00:00:00.3281250","175927296","175927296","False",,,,"13062144","13062144",,
"CCleaner64","20","425","178515968","14462976","11300864","27504",,,"6.34375",,,,,"Process","8",,,,,,"425","22276",".","0","",,,,,"27504","27504","11300864","11300864","334968","334968","18477056","18477056","28356608","28356608","438140928","438140928",,,"11300864","11300864","00:00:05.8125000","CCleaner64",,"True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 7:09:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.3437500","00:00:00.5312500","178515968","178515968","False",,,,"14462976","14462976",,
"CcmExec","0","1478","667160576","48898048","53673984","65296",,,,,,,,"Process","8",,,,,,"1478","8464",".","0","",,,,,"65296","65296","53673984","53673984","505416","505416","177340416","177340416","315621376","315621376","1615753216","1615753216",,,"53673984","53673984",,"CcmExec",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"667160576","667160576","False",,,,"48898048","48898048",,
"chrome","20","638","2199941132288","139595776","193490944","43296","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","81.90625","64.0.3282.186","64.0.3282.186","Google Chrome","Google Chrome","Process","8",,"False",,"2888","Microsoft.Win32.SafeHandles.SafeProcessHandle","638","624",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","43296","43296","193490944","193490944","972448","972448","445349888","445349888","303124480","303124480","995287040","2200018542592","True","Normal","193490944","193490944","00:00:21.5312500","chrome","15","True","20","System.Diagnostics.ProcessStartInfo","3/22/2018 7:08:38 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:21.9062500","00:01:00.3750000","917876736","2199941132288","False",,,,"139595776","139595776",,
