"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"AdobeARMservice","System.ServiceProcess.ServiceController[]","False","False","False","Adobe Acrobat Update Service","System.ServiceProcess.ServiceController[]",".","AdobeARMservice","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Disabled",,
"AJRouter","System.ServiceProcess.ServiceController[]","False","False","False","AllJoyn Router Service","System.ServiceProcess.ServiceController[]",".","AJRouter","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ALG","System.ServiceProcess.ServiceController[]","False","False","False","Application Layer Gateway Service","System.ServiceProcess.ServiceController[]",".","ALG","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"ApHidMonitorService","System.ServiceProcess.ServiceController[]","False","True","True","Alps HID Monitor Service","System.ServiceProcess.ServiceController[]",".","ApHidMonitorService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"AppIDSvc","System.ServiceProcess.ServiceController[]","False","False","False","Application Identity","System.ServiceProcess.ServiceController[]",".","AppIDSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Appinfo","System.ServiceProcess.ServiceController[]","False","False","True","Application Information","System.ServiceProcess.ServiceController[]",".","Appinfo","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"Apple Mobile Device Service","System.ServiceProcess.ServiceController[]","False","False","True","Apple Mobile Device Service","System.ServiceProcess.ServiceController[]",".","Apple Mobile Device Service","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"AppMgmt","System.ServiceProcess.ServiceController[]","False","False","True","Application Management","System.ServiceProcess.ServiceController[]",".","AppMgmt","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"AppReadiness","System.ServiceProcess.ServiceController[]","False","False","False","App Readiness","System.ServiceProcess.ServiceController[]",".","AppReadiness","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"AppVClient","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft App-V Client","System.ServiceProcess.ServiceController[]",".","AppVClient","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Disabled",,
