#TYPE Selected.System.ServiceProcess.ServiceController
"ServiceName","Status"
"Netlogon","Running"
"NcbService","Running"
"Netman","Running"
"VeeamTransportSvc","Running"
"netprofm","Running"
"MBAMAgent","Running"
"vmware-converter-server","Running"
"vmware-converter-agent","Running"
"MpsSvc","Running"
"VMUSBArbService","Running"
"OpenVPNServiceInteractive","Running"
"VeeamDeploySvc","Running"
"VaultSvc","Running"
"ushupgradesvc","Running"
"osrss","Running"
"VeeamMountSvc","Running"
"NgcCtnrSvc","Running"
"NlaSvc","Running"
"OneSyncSvc_6c65554d","Running"
"nsi","Running"
"vmware-converter-worker","Running"
"iPod Service","Running"
"iphlpsvc","Running"
"WavesSysSvc","Running"
"KeyIso","Running"
"jhi_service","Running"
"ibtsiva","Running"
"IAStorDataMgrSvc","Running"
"Wcmsvc","Running"
"IKEEXT","Running"
"igfxCUIService2.0.0.0","Running"
"lmhosts","Running"
"W32Time","Running"
"LMS","Running"
"LSM","Running"
"vpnagent","Running"
"LanmanServer","Running"
"SSDPSRV","Running"
"LanmanWorkstation","Running"
"LicenseManager","Running"
"lfsvc","Running"
"SENS","Running"
"SecurityHealthService","Running"
"SystemEventsBroker","Running"
"SysMain","Running"
"SensorService","Running"
"Schedule","Running"
"Themes","Running"
"TermService","Running"
"seclogon","Running"
"TechSmith Uploader Service","Running"
"stisvc","Running"
"StorSvc","Running"
"StateRepository","Running"
"sppsvc","Running"
"Spooler","Running"
"ShellHWDetection","Running"
"SessionEnv","Running"
"SISIDSService","Running"
"SISIPSUtil","Running"
"SISIPSService","Running"
"SCardSvr","Running"
"UmRdpService","Running"
"PlugPlay","Running"
"PolicyAgent","Running"
"ProfSvc","Running"
"Power","Running"
"UserManager","Running"
"PcaSvc","Running"
"UserDataSvc_6c65554d","Running"
"UnistoreSvc_6c65554d","Running"
"PimIndexMaintenanceSvc_6c65554d","Running"
"RpcEptMapper","Running"
"tiledatamodelsvc","Running"
"RpcSs","Running"
"SamSs","Running"
"RtkAudioService","Running"
"RegSrvc","Running"
"QWAVE","Running"
"TrkWks","Running"
"TimeBrokerSvc","Running"
"TokenBroker","Running"
"WpnService","Running"
"WpnUserService_6c65554d","Running"
"DcomLaunch","Running"
"DbxSvc","Running"
"CryptSvc","Running"
"CoreMessagingRegistrar","Running"
"wscsvc","Running"
"cplspcon","Running"
"cphs","Running"
"DellRctlService","Running"
"Winmgmt","Running"
"WinRM","Running"
"DoSvc","Running"
"Dnscache","Running"
"DiagTrack","Running"
"wlidsvc","Running"
"DeviceAssociationService","Running"
"Dhcp","Running"
